epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4868,1.51016,2.95988,1.39798,0.84388,0.43932,0.50734,0.29209,1.43736,1.79767,1.37105,0.000300896,0.000300896,0.000300896
2,74.6916,1.40752,1.70365,1.31516,0.75092,0.51958,0.59011,0.34602,1.39347,1.53196,1.36254,0.000591939,0.000591939,0.000591939
3,105.914,1.39426,1.5284,1.31741,0.7689,0.52787,0.58004,0.33191,1.42396,1.52753,1.39113,0.000870983,0.000870983,0.000870983
4,137.036,1.35315,1.40489,1.29361,0.7189,0.64925,0.68313,0.40689,1.31628,1.267,1.31205,0.000855005,0.000855005,0.000855005
5,168.023,1.32084,1.25305,1.2599,0.74713,0.62573,0.69079,0.41646,1.32085,1.19055,1.29633,0.000837007,0.000837007,0.000837007
6,198.753,1.30298,1.20532,1.25762,0.74103,0.66909,0.71812,0.43702,1.28958,1.10251,1.29272,0.000819009,0.000819009,0.000819009
7,229.673,1.28894,1.13353,1.24451,0.77722,0.65388,0.71729,0.44668,1.25198,1.09374,1.26324,0.000801011,0.000801011,0.000801011
8,260.43,1.26742,1.0938,1.22948,0.86764,0.64326,0.74441,0.45831,1.26394,1.02754,1.27294,0.000783013,0.000783013,0.000783013
9,291.634,1.23181,1.03926,1.20768,0.74954,0.70672,0.74905,0.47025,1.25347,1.02298,1.26572,0.000765014,0.000765014,0.000765014
10,322.321,1.22245,0.98829,1.20616,0.80232,0.71753,0.77246,0.48386,1.22402,0.94203,1.22592,0.000747016,0.000747016,0.000747016
11,352.501,1.20771,0.96239,1.18835,0.86093,0.70616,0.79304,0.50533,1.19063,0.91253,1.22102,0.000729018,0.000729018,0.000729018
12,383.04,1.21073,0.95396,1.20088,0.83032,0.74376,0.78789,0.48754,1.22029,0.89261,1.22643,0.00071102,0.00071102,0.00071102
13,413.549,1.18867,0.90797,1.17218,0.86977,0.728,0.80667,0.51484,1.16503,0.82076,1.20077,0.000693022,0.000693022,0.000693022
14,444.229,1.17792,0.89914,1.1758,0.81304,0.74897,0.79346,0.50188,1.17305,0.84986,1.19657,0.000675023,0.000675023,0.000675023
15,475.354,1.15732,0.86433,1.15591,0.83714,0.78286,0.82551,0.53195,1.13092,0.79999,1.17353,0.000657025,0.000657025,0.000657025
16,506.206,1.14647,0.84592,1.15489,0.88287,0.76053,0.82691,0.52481,1.15644,0.78634,1.19009,0.000639027,0.000639027,0.000639027
17,537.047,1.14574,0.83427,1.15397,0.89281,0.77318,0.83801,0.54454,1.12085,0.74931,1.15477,0.000621029,0.000621029,0.000621029
18,567.74,1.1469,0.83195,1.15598,0.8235,0.78776,0.82593,0.52972,1.13808,0.75486,1.18307,0.000603031,0.000603031,0.000603031
19,598.59,1.11532,0.79729,1.1395,0.84903,0.75482,0.8248,0.52765,1.1439,0.76214,1.17259,0.000585032,0.000585032,0.000585032
